ticker;nombre;precio;divisa;hora;fuente
AIR.PA;Airbus (Francia);202,45;EUR;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
ASML.AS;ASML (Países Bajos);874,8;EUR;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
BXP;BXP Inc (US);74,04;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
CELH;Celsius (US);60,49;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
CSU.TO;Constellation Software (Canadá);3811,05;CAD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
GOOG;Alphabet Class C (US);248,45;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
GOOGL;Alphabet Class A (US);247,16;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
GOOS;Canada Goose (US);13,96;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
MC.PA;LVMH (Francia);560,0;EUR;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
META;Meta Platforms (US);708,32;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
MTCH;Match Group (US);33,23;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
NKE;Nike (US);69,45;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
PLMR;Palomar (US);114,02;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
PYPL;Paypal (US);73,48;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
SMCI;Super Micro Computer (US);54,5;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
STNE;StoneCo (US ADR);17,635;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
UPWK;Upwork (US);16,97;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
VFC;VF Corp (US);14,355;USD;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
ZEG.L;Zegona Communications (UK);1285,0;GBp;2025-10-07 19:52:27 CEST;"Yahoo Finance (yfinance; posible retraso)"
